Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Purpose,Interest_Rate,Application_Date,Loan_Status,Total_Income,Loan_to_Income_Ratio,Application_Year,Application_Month,Is_Default
LN100000,Male,Yes,0,Graduate,No,5690,4770,20.0,60,1,Semiurban,Medical,10.97,2023-06-07,Fully Paid,10460,1.9120458891013383,2023,June,0.0
LN100001,Female,Yes,0,Not Graduate,No,2908,1654,12.0,240,1,Semiurban,Auto,14.42,2024-05-29,Current,4562,2.63042525208242,2024,May,
LN100002,Female,No,3,Graduate,No,8612,0,18.0,120,1,Rural,Education,13.05,2022-10-10,Charged Off,8612,2.0901068276823036,2022,October,1.0
LN100003,Female,No,0,Graduate,No,8284,3158,40.0,60,1,Urban,Education,11.2,2024-03-26,Charged Off,11442,3.4958923265163433,2024,March,1.0
LN100004,Male,No,0,Graduate,No,8544,0,24.0,180,0,Rural,Education,12.68,2023-06-20,Fully Paid,8544,2.808988764044944,2023,June,0.0
LN100005,Male,No,2,Not Graduate,No,5203,1474,23.0,360,0,Semiurban,Personal,10.9,2022-10-01,Charged Off,6677,3.444660775797514,2022,October,1.0
LN100006,Male,No,0,Not Graduate,No,5725,2583,25.0,120,1,Rural,Home,6.0,2023-06-23,Fully Paid,8308,3.0091478093403947,2023,June,0.0
LN100007,Female,No,2,Graduate,No,5659,1798,24.0,240,0,Urban,Home,6.03,2022-02-23,Fully Paid,7457,3.2184524607751106,2022,February,0.0
LN100008,Female,Yes,0,Graduate,No,10522,3732,43.0,84,1,Semiurban,Business,10.29,2022-02-24,Fully Paid,14254,3.0166970674898272,2022,February,0.0
LN100009,Female,Yes,0,Graduate,Yes,7597,1354,18.0,120,1,Rural,Home,10.44,2024-06-06,Fully Paid,8951,2.010948497374595,2024,June,0.0
LN100010,Male,Yes,0,Graduate,Yes,7228,4738,18.0,240,1,Urban,Education,13.98,2024-01-15,Fully Paid,11966,1.5042620758816647,2024,January,0.0
LN100011,Female,Yes,0,Graduate,No,9338,3664,19.0,240,1,Urban,Business,13.65,2022-10-04,Fully Paid,13002,1.4613136440547607,2022,October,0.0
LN100012,Female,No,3,Graduate,No,5666,0,5.0,60,1,Rural,Auto,13.12,2023-03-19,Fully Paid,5666,0.8824567596187787,2023,March,0.0
LN100013,Male,Yes,0,Graduate,No,8095,0,18.0,60,1,Urban,Education,10.02,2024-06-01,Fully Paid,8095,2.2235948116121063,2024,June,0.0
LN100014,Male,No,0,Graduate,No,14117,4139,39.0,180,1,Rural,Auto,6.17,2023-02-22,Fully Paid,18256,2.1362839614373357,2023,February,0.0
LN100015,Male,No,0,Graduate,No,11156,3719,33.0,120,1,Urban,Home,12.44,2023-09-24,Fully Paid,14875,2.2184873949579833,2023,September,0.0
LN100016,Male,Yes,0,Graduate,No,8050,0,28.0,360,1,Urban,Auto,12.84,2022-08-13,Fully Paid,8050,3.4782608695652173,2022,August,0.0
LN100017,Male,Yes,3,Graduate,No,7327,5979,43.0,240,1,Rural,Personal,5.0,2023-07-24,Fully Paid,13306,3.231624830903352,2023,July,0.0
LN100018,Male,No,0,Graduate,No,8517,2412,14.0,360,1,Semiurban,Business,8.08,2022-09-12,Fully Paid,10929,1.280995516515692,2022,September,0.0
LN100019,Male,Yes,1,Not Graduate,No,11752,4795,30.0,120,1,Semiurban,Medical,8.58,2022-06-25,Fully Paid,16547,1.8130174654015834,2022,June,0.0
LN100020,Female,No,3,Graduate,No,11426,0,22.0,120,1,Semiurban,Medical,11.41,2023-07-20,Fully Paid,11426,1.925433222475057,2023,July,0.0
LN100021,Male,Yes,1,Graduate,No,12520,0,22.0,360,1,Rural,Business,8.19,2022-05-26,Fully Paid,12520,1.7571884984025559,2022,May,0.0
LN100022,Male,No,3,Graduate,No,7753,5724,40.0,180,1,Urban,Personal,10.87,2024-02-10,Fully Paid,13477,2.968019588929287,2024,February,0.0
LN100023,Male,Yes,0,Graduate,No,3250,3196,14.0,60,1,Semiurban,Education,10.26,2023-10-26,Fully Paid,6446,2.171889543903196,2023,October,0.0
LN100024,Male,No,0,Graduate,No,13712,4371,42.0,120,1,Urban,Personal,10.44,2023-01-20,Fully Paid,18083,2.3226234584969307,2023,January,0.0
LN100025,Female,Yes,0,Graduate,No,5322,2418,24.0,180,1,Semiurban,Auto,8.49,2022-09-19,Fully Paid,7740,3.10077519379845,2022,September,0.0
LN100026,Male,No,2,Not Graduate,No,3381,0,10.0,84,1,Urban,Business,8.76,2023-06-15,Fully Paid,3381,2.9577048210588583,2023,June,0.0
LN100027,Male,No,0,Graduate,No,9281,2281,13.0,240,1,Urban,Home,7.22,2024-05-03,Fully Paid,11562,1.1243729458571181,2024,May,0.0
LN100028,Female,Yes,0,Graduate,No,3271,1850,14.0,360,1,Semiurban,Business,12.33,2023-01-06,Fully Paid,5121,2.7338410466705723,2023,January,0.0
LN100029,Male,No,1,Graduate,No,7174,4580,23.0,180,1,Urban,Business,13.0,2023-11-14,Fully Paid,11754,1.9567806704100732,2023,November,0.0
LN100030,Female,Yes,0,Graduate,No,3256,2452,9.0,360,1,Urban,Medical,8.3,2024-06-09,Fully Paid,5708,1.5767344078486334,2024,June,0.0
LN100031,Male,Yes,1,Graduate,No,6310,7367,13.0,360,1,Semiurban,Business,16.32,2022-07-16,Fully Paid,13677,0.9505008408276668,2022,July,0.0
LN100032,Male,Yes,0,Graduate,Yes,12531,0,27.0,240,1,Semiurban,Home,9.9,2023-08-08,Fully Paid,12531,2.1546564519990423,2023,August,0.0
LN100033,Female,Yes,0,Graduate,No,8087,4950,23.0,360,1,Rural,Home,16.36,2024-03-25,Charged Off,13037,1.7642095574135155,2024,March,1.0
LN100034,Female,Yes,1,Graduate,No,7146,0,11.0,360,0,Semiurban,Home,8.75,2023-08-20,Charged Off,7146,1.5393226980128742,2023,August,1.0
LN100035,Female,No,0,Graduate,No,8416,2366,29.0,240,0,Urban,Home,5.0,2022-10-11,Charged Off,10782,2.6896679651270636,2022,October,1.0
LN100036,Male,Yes,0,Graduate,No,2607,744,10.0,300,1,Semiurban,Personal,12.41,2022-10-29,Charged Off,3351,2.9841838257236644,2022,October,1.0
LN100037,Male,No,0,Not Graduate,No,5620,5567,16.0,300,1,Urban,Business,11.87,2022-05-12,Fully Paid,11187,1.430231518727094,2022,May,0.0
LN100038,Female,Yes,0,Graduate,No,5927,12340,17.0,180,1,Rural,Business,11.12,2022-04-30,Fully Paid,18267,0.9306399518256966,2022,April,0.0
LN100039,Male,Yes,0,Graduate,No,8907,4761,42.0,240,1,Rural,Personal,8.75,2023-12-29,Fully Paid,13668,3.0728709394205445,2023,December,0.0
LN100040,Male,Yes,2,Graduate,No,4915,2110,6.0,240,1,Semiurban,Home,10.88,2022-05-16,Fully Paid,7025,0.8540925266903915,2022,May,0.0
LN100041,Male,No,1,Not Graduate,No,7630,1386,30.0,240,1,Semiurban,Home,9.21,2023-09-20,Fully Paid,9016,3.3274179236912156,2023,September,0.0
LN100042,Male,Yes,0,Graduate,No,6897,2148,23.0,360,1,Urban,Home,9.94,2023-07-27,Fully Paid,9045,2.542841348811498,2023,July,0.0
LN100043,Female,Yes,0,Graduate,No,5728,1929,13.0,300,0,Semiurban,Education,13.95,2023-06-13,Charged Off,7657,1.697792869269949,2023,June,1.0
LN100044,Male,No,2,Graduate,No,5862,0,9.0,84,0,Rural,Personal,11.64,2022-02-03,Fully Paid,5862,1.5353121801432958,2022,February,0.0
LN100045,Female,Yes,1,Graduate,No,6874,0,6.0,180,1,Urban,Home,13.13,2023-06-16,Fully Paid,6874,0.8728542333430317,2023,June,0.0
LN100046,Male,Yes,0,Graduate,No,3540,2671,9.0,240,1,Urban,Education,10.19,2022-07-27,Fully Paid,6211,1.4490420222186444,2022,July,0.0
LN100047,Male,Yes,1,Graduate,No,9386,3428,15.0,360,1,Semiurban,Home,9.8,2023-11-05,Current,12814,1.170594662088341,2023,November,
LN100048,Male,No,0,Graduate,No,5309,1146,16.0,300,1,Semiurban,Personal,6.96,2022-10-26,Current,6455,2.4786986831913245,2022,October,
LN100049,Male,Yes,0,Graduate,No,6453,3864,13.0,300,1,Urban,Personal,9.7,2023-06-06,Fully Paid,10317,1.2600562178927983,2023,June,0.0
LN100050,Female,No,0,Graduate,No,12350,0,28.0,120,1,Rural,Personal,5.0,2022-04-04,Current,12350,2.2672064777327936,2022,April,
LN100051,Female,Yes,0,Graduate,No,9447,3974,32.0,240,1,Urban,Education,8.93,2023-02-18,Fully Paid,13421,2.3843230757767677,2023,February,0.0
LN100052,Female,No,0,Graduate,No,4614,0,7.0,180,1,Urban,Medical,10.71,2023-01-06,Fully Paid,4614,1.517121803207629,2023,January,0.0
LN100053,Female,No,3,Graduate,No,2493,0,2.0,84,0,Semiurban,Home,12.97,2023-02-13,Current,2493,0.8022462896109106,2023,February,
LN100054,Female,Yes,2,Graduate,No,8549,1469,9.0,240,0,Urban,Personal,10.06,2023-01-18,Charged Off,10018,0.8983829107606308,2023,January,1.0
LN100055,Female,Yes,1,Not Graduate,Yes,6545,1850,7.0,60,1,Semiurban,Auto,12.22,2023-03-17,Fully Paid,8395,0.8338296605122096,2023,March,0.0
LN100056,Male,No,0,Graduate,No,7647,3565,31.0,360,1,Urban,Personal,5.0,2024-05-27,Fully Paid,11212,2.76489475561898,2024,May,0.0
LN100057,Male,Yes,0,Graduate,Yes,9329,5775,25.0,240,1,Urban,Medical,10.8,2023-03-23,Charged Off,15104,1.6551906779661016,2023,March,1.0
LN100058,Male,Yes,1,Graduate,No,9881,0,29.0,300,1,Urban,Education,5.12,2023-09-11,Fully Paid,9881,2.934925614816314,2023,September,0.0
LN100059,Male,Yes,0,Not Graduate,No,6091,1828,16.0,360,1,Rural,Personal,6.77,2023-09-09,Charged Off,7919,2.0204571284253063,2023,September,1.0
LN100060,Male,No,0,Graduate,No,6833,0,14.0,60,1,Semiurban,Home,10.34,2022-03-12,Fully Paid,6833,2.048880433191863,2022,March,0.0
LN100061,Male,Yes,0,Graduate,No,8182,5346,30.0,180,1,Rural,Personal,15.47,2022-03-25,Charged Off,13528,2.2176227084565348,2022,March,1.0
LN100062,Female,No,2,Graduate,No,8379,4377,35.0,240,1,Urban,Home,12.3,2022-07-28,Fully Paid,12756,2.7438068359987455,2022,July,0.0
LN100063,Male,Yes,0,Graduate,No,7620,0,12.0,240,0,Semiurban,Home,11.06,2022-09-16,Charged Off,7620,1.5748031496062993,2022,September,1.0
LN100064,Male,Yes,0,Graduate,No,11809,3365,17.0,120,1,Semiurban,Personal,10.93,2022-08-27,Fully Paid,15174,1.1203374192698037,2022,August,0.0
LN100065,Male,No,2,Graduate,Yes,8345,0,19.0,300,1,Rural,Personal,8.5,2022-10-29,Fully Paid,8345,2.2768124625524266,2022,October,0.0
LN100066,Male,Yes,0,Graduate,Yes,9277,0,16.0,60,1,Semiurban,Home,9.1,2022-08-20,Current,9277,1.7246954834537027,2022,August,
LN100067,Female,Yes,0,Not Graduate,No,7855,0,16.0,240,1,Semiurban,Auto,12.5,2022-10-09,Fully Paid,7855,2.0369191597708465,2022,October,0.0
LN100068,Male,Yes,0,Graduate,No,4902,3345,21.0,360,0,Urban,Personal,6.15,2023-01-29,Current,8247,2.5463805020007277,2023,January,
LN100069,Male,Yes,0,Graduate,No,5614,1442,15.0,360,1,Semiurban,Home,13.08,2023-02-22,Fully Paid,7056,2.1258503401360542,2023,February,0.0
LN100070,Female,Yes,2,Graduate,No,4548,1613,15.0,240,1,Semiurban,Personal,9.64,2022-07-25,Fully Paid,6161,2.4346696964778447,2022,July,0.0
LN100071,Male,Yes,0,Graduate,No,10300,5748,36.0,120,1,Rural,Auto,13.89,2022-09-21,Charged Off,16048,2.243270189431705,2022,September,1.0
LN100072,Male,Yes,0,Graduate,No,3985,0,11.0,360,1,Urban,Personal,14.36,2022-11-07,Charged Off,3985,2.7603513174404015,2022,November,1.0
LN100073,Female,Yes,2,Graduate,No,6732,1735,23.0,60,1,Urban,Education,5.14,2024-05-08,Fully Paid,8467,2.7164284870674384,2024,May,0.0
LN100074,Female,Yes,2,Graduate,No,6210,3145,21.0,360,1,Semiurban,Education,8.96,2023-11-28,Fully Paid,9355,2.244788882950294,2023,November,0.0
LN100075,Female,Yes,2,Not Graduate,No,6152,0,16.0,120,0,Urban,Personal,8.01,2023-09-18,Charged Off,6152,2.600780234070221,2023,September,1.0
LN100076,Female,Yes,0,Not Graduate,No,6344,3344,31.0,180,1,Urban,Medical,5.0,2022-03-20,Fully Paid,9688,3.1998348472336913,2022,March,0.0
LN100077,Male,No,0,Graduate,No,12676,1551,28.0,120,1,Rural,Auto,7.39,2024-05-18,Fully Paid,14227,1.9680888451535812,2024,May,0.0
LN100078,Male,Yes,0,Graduate,No,3462,0,7.0,300,1,Semiurban,Home,19.54,2022-12-08,Fully Paid,3462,2.021952628538417,2022,December,0.0
LN100079,Male,No,2,Not Graduate,No,11232,4237,44.0,360,1,Rural,Personal,13.13,2024-03-23,Fully Paid,15469,2.844398474368091,2024,March,0.0
LN100080,Female,No,0,Graduate,No,6538,3264,23.0,120,1,Rural,Business,17.71,2023-07-16,Fully Paid,9802,2.346459906141604,2023,July,0.0
LN100081,Female,Yes,0,Not Graduate,No,9636,0,10.0,360,1,Urban,Home,13.9,2024-04-11,Current,9636,1.03777501037775,2024,April,
LN100082,Male,Yes,0,Graduate,No,7309,1283,28.0,300,1,Semiurban,Medical,8.4,2022-04-05,Fully Paid,8592,3.258845437616387,2022,April,0.0
LN100083,Male,No,3,Graduate,No,4707,2357,6.0,360,1,Urban,Medical,9.66,2024-02-09,Fully Paid,7064,0.8493771234428086,2024,February,0.0
LN100084,Male,No,0,Graduate,No,11648,0,33.0,84,1,Rural,Home,13.06,2022-12-17,Current,11648,2.8331043956043955,2022,December,
LN100085,Male,Yes,0,Graduate,Yes,10949,4071,43.0,120,1,Semiurban,Medical,12.53,2022-03-03,Charged Off,15020,2.862849533954727,2022,March,1.0
LN100086,Female,Yes,0,Graduate,Yes,4828,0,16.0,60,1,Semiurban,Education,8.98,2022-05-22,Fully Paid,4828,3.3140016570008286,2022,May,0.0
